gold,decoded
There is one medium yellow die showing six.,There is one medium yellow die showing six.
This picture contains a large yellow die displaying three.,There is one large yellow die showing three.
This picture contains a medium purple die displaying four.,There is one medium purple die showing four.
A large red die is shown with a value of six.,There is one large red die showing six.
This picture contains a large green die displaying six.,There is one large green die showing six.
A medium purple die is shown with a value of five.,There is one medium purple die showing five.
The scene contains a small yellow die showing five and a large blue die showing five.,There are two dice: a small yellow die showing five and a large yellow die showing five.
"There are a medium blue die showing two, a medium peach die showing six and a large white die showing three in the scene.","There are three dice: a medium peach die showing six, a medium blue die showing three and a medium white die showing six."
The image shows a medium red die showing four and a small yellow die showing three.,There are two dice: a small yellow die showing three and a small red die showing four.
"The scene contains a large purple die showing six, a large purple die showing two and a large white die showing two.","There are three dice large purple dice showing two, two and two."
"The image shows a medium yellow die showing four, a large white die showing five and a large purple die showing two.","There are three dice: a medium purple die showing five, a medium yellow die showing five and a large yellow die showing five."
There are a medium peach die showing five and a medium blue die showing six in the scene.,There are two dice: a medium peach die showing six and a medium blue die showing six.
There are a medium purple die showing six and a small blue die showing two in the scene.,There are two dice medium purple dice showing six and six.
This picture contains a large yellow die showing two and a large red die showing three.,There are two dice large yellow dice showing three and two.
"There are a small yellow die showing three, a small purple die showing six and a medium blue die showing one in the scene.","There are three dice: a medium yellow die showing three, a small yellow die showing six and a small blue die showing six."
A medium purple die is shown with a value of five.,There is one medium purple die showing five.
The scene contains a small white die showing two and a small purple die showing five.,There are two dice small purple dice showing five and five.
"This picture contains a medium red die showing four, a large peach die showing three and a medium white die showing four.","There are three dice: a medium white die showing four, a large white die showing four and a medium white die showing four."
This picture contains a large yellow die displaying four.,There is one large yellow die showing four.
This picture contains a small peach die displaying three.,There is one medium peach die showing three.
This picture contains a large blue die displaying one.,There is one large blue die showing one.
This picture contains a medium white die displaying five.,There is one medium white die showing five.
The image shows a large blue die showing two and a small blue die showing six.,There are two dice: a large blue die showing two and a small blue die showing six.
This picture contains a medium yellow die showing one and a large green die showing six.,There are two dice: a medium yellow die showing one and a medium green die showing one.
"The scene contains a medium peach die showing five, a large green die showing four and a small peach die showing one.","There are three dice large peach dice showing five, one and one."
