image,text,sym_num_dice,sym_values,sym_colours,sym_sizes
sample_00000.png,"The image shows a small purple die showing two, a small green die showing one and a medium blue die showing two.",3,2 1 2,purple green blue,small small medium
sample_00004.png,"The scene contains a small peach die showing four, a large yellow die showing three and a small red die showing five.",3,4 3 5,peach yellow red,small large small
sample_00007.png,"This picture contains a medium green die showing five, a small purple die showing three and a small purple die showing six.",3,5 3 6,green purple purple,medium small small
sample_00009.png,"This picture contains a large peach die showing two, a medium blue die showing two and a large white die showing three.",3,2 2 3,peach blue white,large medium large
sample_00010.png,The image shows one small purple die with value six.,1,6,purple,small
sample_00012.png,The image shows a medium yellow die showing one and a large yellow die showing two.,2,1 2,yellow yellow,medium large
sample_00013.png,The image shows one small yellow die with value six.,1,6,yellow,small
sample_00014.png,The image shows one large green die with value two.,1,2,green,large
sample_00017.png,This picture contains a small blue die showing six and a small purple die showing four.,2,6 4,blue purple,small small
sample_00019.png,"The image shows a small white die showing six, a large red die showing five and a medium red die showing two.",3,6 5 2,white red red,small large medium
sample_00020.png,The image shows a medium peach die showing three and a large white die showing four.,2,3 4,peach white,medium large
sample_00021.png,There is one large purple die showing five.,1,5,purple,large
sample_00023.png,The image shows one small purple die with value four.,1,4,purple,small
sample_00025.png,The image shows one medium red die with value six.,1,6,red,medium
sample_00026.png,"There are a small yellow die showing six, a large yellow die showing six and a large white die showing three in the scene.",3,6 6 3,yellow yellow white,small large large
sample_00028.png,This picture contains a medium peach die showing four and a medium yellow die showing six.,2,4 6,peach yellow,medium medium
sample_00031.png,The image shows a small yellow die showing five and a small green die showing three.,2,5 3,yellow green,small small
sample_00034.png,The scene contains a medium white die showing five and a large peach die showing six.,2,5 6,white peach,medium large
sample_00037.png,"The image shows a medium green die showing one, a small peach die showing five and a medium red die showing five.",3,1 5 5,green peach red,medium small medium
sample_00039.png,"This picture contains a medium green die showing two, a medium yellow die showing four and a medium peach die showing five.",3,2 4 5,green yellow peach,medium medium medium
sample_00041.png,A small yellow die is shown with a value of two.,1,2,yellow,small
sample_00042.png,"The scene contains a small purple die showing six, a small blue die showing three and a small peach die showing one.",3,6 3 1,purple blue peach,small small small
sample_00044.png,The scene contains a small purple die showing five and a small white die showing one.,2,5 1,purple white,small small
sample_00046.png,The scene contains a medium blue die showing three and a small peach die showing one.,2,3 1,blue peach,medium small
sample_00047.png,"The image shows a large white die showing six, a large green die showing three and a small red die showing four.",3,6 3 4,white green red,large large small
sample_00048.png,"The scene contains a medium red die showing four, a large red die showing six and a medium purple die showing two.",3,4 6 2,red red purple,medium large medium
sample_00049.png,There is one small purple die showing two.,1,2,purple,small
sample_00050.png,The image shows one large white die with value six.,1,6,white,large
sample_00051.png,"There are a medium red die showing five, a small purple die showing three and a small purple die showing four in the scene.",3,5 3 4,red purple purple,medium small small
sample_00054.png,A small peach die is shown with a value of five.,1,5,peach,small
sample_00055.png,"The scene contains a large green die showing three, a large peach die showing two and a small yellow die showing six.",3,3 2 6,green peach yellow,large large small
sample_00057.png,The image shows a medium yellow die showing three and a medium purple die showing three.,2,3 3,yellow purple,medium medium
sample_00059.png,There are a medium red die showing three and a small peach die showing five in the scene.,2,3 5,red peach,medium small
sample_00061.png,There are a large red die showing three and a small yellow die showing two in the scene.,2,3 2,red yellow,large small
